hero
LITTLE, ABNER
WAR/ABRAHAM LINCOLN
APOCALYPSE | MUTANT
MAGNETO | MUTANT X-V
ELEKTRA | MUTANT X-V
RAVEN | MUTANT X-VER
X-MAN | MUTANT X-VER
CANNONBALL/SAM GUTHR
CEREBRO | MUTANT-X V
HUSK/PAIGE GUTHRIE |
DRACULA | MUTANT X-V
DAGGER/TANDY BOWEN |
O'BREEN, GLORIANNA
PAYBACK/
SQUID/DONNY CALLAHAN
MARTS, MR.
MASTER MONARCH/
OGRE II
MS. FORTUNE/
LIGHTNING FIST
YELLOW CLAW/TZING JA
IVORY/
ANGAR THE SCREAMER/D
ASSAULT/
OVERRIDER/
SMOKESCREAM/
VIOLENCE/
PSI-BORG/
KNOCKABOUT/
BATTERY/
TUMBLER/JOHN ROBERT
HARDERMAN, QUENTIN
JIKEKT
KEKA' AKELUAK
TIKUAK
JEKUAKKEKT
L'KLEKK'TAK
FLATMAN
DINAH-SOAR
BIG BERTHA/ASHLEY CR
DOORMAN
HANRAHY, JIM
TANNER, ARCHIE
MR. IMMORTAL
JOSTEN, CARL
DIRKSON, GUS
RAND, HEATHER DUNCAN
STEEL SERPENT
WING, PROFESSOR
BLIND AL/ALTHEA
WEASEL/JACK HAMMER
EXPEDITER II/ZOE CUL
DEUCE
MONTGOMERY
T-RAY/WADE WILSON
LEQUARRE, GERRY
DUBOIS, NOAH
AJAX II
OVERBOSS DIXON
TENG, NIKKI
PATCH II
C.F.
FENWAY
FORRESTER, CAPT. ALE
BRANNEX, ALLESSANDRO
MODAM
PELTINO, LT.
FARREL, MIKE
BARTLETT, STU
KAPPELBAUM, MRS.
BUNYAN, PAUL
HENRY, JOHN
JOHNNY APPLESEED/JON
FATHER TIME
UNCLE SAM
PECOS BILL
WIDOW-MAKER
SCANLON, COMMANDER
VISE/
THAKOS
BLACK KNIGHT IV/PROF
MOLTO
JINKU
BASALLO/LAVA MEN KIN
IRON MAN ARMOR
SIROCCO
VEIL
BLACK RAAZER/
ARABIAN KNIGHT/ABDUL
AMINEDI
MANN, DR. J. VERNON
DECAY II/YOSHIRO HAC
INFERNO III/SAMANTHA
TEMPEST II/NICOLETTE
BUCHANAN, SAM
MONTESI, VICTORIA
HASTINGS, PROF. LOUI
MADAME MASQUE V
CH'OD
THING DOPPELGANGER
WOLVERINE DOPPELGANG
HERCULES DOPPELGANGE
DAREDEVIL DOPPELGANG
MR. FANTASTIC DOPPEL
SPEEDBALL DOPPELGANG
NOVA DOPPELGANGER
WOLFSBANE DOPPELGANG
SHE-HULK DOPPELGANGE
TRITON DOPPELGANGER
BLACK WIDOW DOPPELGA
PUCK DOPPELGANGER
IRON MAN DOPPELGANGE
BLACK KNIGHT IV DOPP
PROFESSOR X DOPPELGA
KARNAK DOPPELGANGER
CYCLOPS DOPPELGANGER
STRONG GUY DOPPELGAN
HULK DOPPELGANGER
SILHOUETTE
HUMAN TORCH DOPPELGA
POLARIS DOPPELGANGER
BEAST DOPPELGANGER
VISION DOPPELGANGER
HAWKEYE DOPPELGANGER
MOON KNIGHT DOPPELGA
PUCK DOPPELGANGER II
GAMBIT DOPPELGANGER
SPIDER-WOMAN DOPPELG
MULTIPLE MAN DOPPELG
USAGENT DOPPELGANGER
BEAST DOPPELGANGER I
NORTHSTAR DOPPELGANG
QUICKSILVER DOPPELGA
NAMORITA DOPPELGANGE
BLACK KNIGHT V DOPPE
DARKHAWK DOPPELGANGE
FIRESTAR DOPPELGANGE
THING DOPPELGANGER I
ROGUE DOPPELGANGER
DRAX DOPPELGANGER
SILVER SURFER DOPPEL
ICEMAN DOPPELGANGER
TOMAZOOMA II
WINGFOOT, WYATT II
OLSON, MRS.
PENTIGAAR
KURSE/ALGRIM [ASGARD
NULLITRON
DESIGNATE/TARENE
TOOTHGRINDER
TOOTHGNASHER
NEFFETHESK
RYAN, THOMAS
CYRA [ASGARDIAN]
DONOHUE, TREVOR
STONE, TIBERIUS
WALDERS, BEATRICE
WONG CHU
HO YINSEN
SUN-TAO
DR. POWER/DR. MAXIMU
POWER, DR. MAX
YRIK
BYREL
STEVENS, MILO
YELLOWJACKET III/HEN
CYLLA
MASTER KHAN/TYRONE K
MONSTROID/BALIOX/7NH
GANYMEDE
TYRANT
OLALLA
SKYHAWK/WINSTON BILL
NIKKI/NICHOLETTE GOL
CHARLIE 27
MAJOR VICTORY/MAJ. V
STARHAWK II/ALETA OG
MARTINEX
THOR IV/DARGO
STARHAWK/STAKAR
SCOURGE II/
RAZORFIST III
GRIFFIN II/JOHNNY HO
QUANTUM
ZZZAX
MASTER PANDEMONIUM/M
CAT KING
DOMINUS II
XEMU
VALERIA
PHINEAS
MAHKIZMO
TALBOT, MAJ. MATT
WILD MAN/ALEX WILDMA
JONES, JANIS
IRON MAN V/TEEN TONY
HINKLEY
HEADGEAR/
DIETZ, SUSAN
MUTO, JUNZO
HIROMITSU
RAMROD II
WATER WIZARD/PETE
GAEA
MIDNIGHT/M'NAI
FRANKENSTEIN MONSTER
FLYING DUTCHMAN
SAHREED
YMIR
LEVIATHAN VI
ASTER, LUCIAN
NEPTUNE [OLYMPIAN]
DELILAH
BLACK TARANTULA II/C
CHESBRO
ZANIAC II/THUG THATC
MADDICKS, ARTHUR ART
LIPSCOMB, DR. ANGELA
KILLER SHRIKE/SIMON
MADDICKS, NADINE
RYKER, LUCY
RYKER, GENERAL
JOHNSON
FLUX/PRIVATE BENNY T
ANIMUS
BRASS/SEAN WATANABE
WATANABE, YUJI
CORRIGAN, ARCHIBALD
TYGER TIGER/JESSAN H
BRAINCHILD
NEREEL
LUPO
MR. JIP
SIMONSON, LOUISE
BUTCH
ALFY
GREENSONG
DEADAIR
LEAD-IN
SWEEPZWEAK
TIMESLOT
SHIP
RICHARDS, FRANKLIN 2
PIECEMEAL/GILBERT BE
CHORD, ANDREW
HARNESS/ERIKA BENSON
GIDEON
PROTEUS II
FAMINE/AUTUMN ROLFSO
FOXBAT
GAUNTLET
DRAKE, MADELINE BEAT
RASPUTIN, MIKHAIL
HIRO
DRAKE, WILLIAM ROBER
HEALER
MEME
BRAIN CELL/
KARIM, MERYET
BANDIT/
TUMOLO, DR. JOANNE
ZABO
KRAKEN
RAZORFIST II
ESTAVES, MARIE
ESTAVES, DR. ROSA
LANSING, CHERYL
SKIN II/DONNA BLISS
BONES/ELIZABETH BLIS
MISS ITCH/BLISS
MR. SCRATCH II/BLISS
BLISS, BONNIE
NIGHTEYES/ERIC
MERIDIAN, DR. ROBERT
LEIGHTON, BRIAN
HATE-MONGER/ADOLF HI
MCELROY, JAMES
DEATHCRY [SHI'AR]
BLITZKRIEG/
FREE SPIRIT/CATHY WE
JACK FLAG/
ANGEL III/HALLOWAY
EVERY-MAN
BLACK AVENGER/JERRY
BLACK MARVEL/DAN LYO
CAPTAIN TERROR/DAN K
SUPERIA/WENTWORTH, D
THUNDERBOLT/BILLY CA
WESTON, SALLY
TYPHON
TYNDAR
DEATHUNT 9000
APOCRYPHUS
BLACK KNIGHT II/SIR
SSSITH
CRIMSON
AZURE
INFECTIA/JOSEPHINE
CERISE
BERYL
COBALT II
HODGE, CAMERON
SIKORSKY
MOLE
GLORIOLE
JONES, TIMOTHY
GERASI, MARY ROSE
GERASI, LESLIE
YOUNG, KIM SUNG
GERASI, JOEY
BRAITHWAITE, JUDGE R
GERASI, DON MARIO
NICHOLS, TOM
HALFTREE, HORACE
HONIKAWA, SHO
HATCHET MAN/HACHIMAN
KEMBLE, DR.
BARBAROSSA, VINNIE
FITZGERALD, MOLLY
SCORPIO III/MIKEL FU
PURSUER
FALZON
IRIDIA [INHUMAN]
THRAXON
RAGA
BLACK LAMA
TABUR
BLACKWOOD, JENNY
VALINOR
CATHERWOOD
NEWMARK, LOTUS
ZAMORA, PETE
AGONY/
BASILISK III/
JAMEKA
ROSS, EVERETT KENNET
NOVA DOPPELGANGER II
RICHARDS, FRANKLINK
DHEREK
HARRIS, CHRISTINE
CASS, LARRY MAD DOG
BULLET
PEMBROKE
MALTESE
SABINI, JERRY THE WH
HOYT, TONY
CALKIN, SUSAN
SENNET, PAMELA
IZANAMI
STAR
FLAME
JONIN
SPEAR
WING
STONE
SCOTT, PETER
TULLY, DEREK
BUCHETTO, SALVATORE
ZARAN II
HANGMAN II/JASON ROL
PRESTER JOHN
KABALLA
AGAMEMNON II/ANDREI
BASILISK/BASIL ELKS
PAPA NEBO
SMEDLEY
BROTHER STEPHEN
DECAY/
ADAMSON, JASON
LOGAN, WAYNE
ADAMSON, REBECCA
GOLEM III
BLACK TALON/DESMOND
DAMBALLAH
CAPTAIN UNIVERSE/STE
COFFIN, RAY
RUSSELL, LISSA
SIMPSON, CRASH
WILSON, DUBOSE
KURLYCHEK, PATTY
CONSUELA
WAR TOY/ALKHEMA
DR. GOODWRENCH
EEL III
JOYCE, SAMANTHA
SLAG/SLAGHT, DR. THE
GREMLIN/
COLLETTE
CRIMSON DYNAMO VI/VA
MYCROFT
BERGIER, REBECCA
JEFFRIES, DR.
BERKELEY, TRAVIS
TURMOIL
RECORDER II
ANCESTOR/
SICKLE
FOUNDRY
YIN, DR. SU
LICH
Q'WAKE/QUAKE
DELUGE II
BUTTERFLY
FIREFLY
CRIMEBUSTER/FRANK MO
BUG
RANN, COMMANDER ARCT
MARIONETTE/MARI
LOHAN, PETER
N'GAMI
KREA, BRUNO
LUMP
HATE-MONGER IV
THUNDERSWORD
HOFFMAN, ALICE
SARACEN
IRON FIST H'YLTHRI I
STAMP, J.Q.
BARNETT, MIKE
KANGAROO II/
MARILLA [INHUMAN]
ROEBERG, SEN.
SPOT/
JAMESLEY, ALOYSIUS R
THOR REPLICOID
MARRERO, ED
TAI II
GARCIA, REV.
STELLARIS/LEAH PRINC
KORREK
DR. NEMESIS/DR. STOC
STEWART, TINA
SKYMAX/SK'YM'X/JAMES
NIGHTHAWK III/NEAL
CROWLEY
JONES, KATIE
MYSTERIUM/DR. JOSEPH
JONES, DRUCILLA
STEWART, MADDIE
JONES, ANDY
JONES, PHILLIP
WILSON, MERCEDES
BRUKNER, ILANEY
GRUNCH, ALESTAIRE FI
HAYDEN
MALOVICK/
UNICORN III/
PYRON/
URTHONA
HEYWERTH, GENERAL
JAM/JASMINE ARCHER
BUX
ROUST
MCCOY, EDNA ANDREWS
O'HARA, GERALD
MCSHANE, PATRICK
JEFFERSON, DR.
WIDE LOAD ANNIE/ANNI
XEMNU
MCGRILL, MARY
POPPA WHEELER
SWANN, DR. EVAN
RITTER, DEBORAH
RITTER, DONALD
LADY OF THE LAKE
MONTOYA, JULIO
MONTOYA, MARIA
PHANTOM EAGLE
TIWAZ
THUMBELLINA
ENRAKT
MAGNIR
BRONA
O'NEILL, DET. BRADY
CERANDA
MAJESTON ZELIA
SLOTOTH
HESCAMAR/MARNOT [ASG
ORIKAL
GEIRRODUR
TARAKIS
BEDLAM II/OLISA KABA
CONQUEST/BRIDGET MAL
FONTANELLE/GLORIA DA
AYALA, MRS.
LANG, TIMMY
LANG, ALLISON
ECHO/MAYA LOPEZ
LEAP FROG/LANG
SHELDON, PHIL
FORTUNATO
RIGOLETTO, DON DANTE
CHAMBER/JONOTHON STA
ST. CROIX, CARTIER
ST. CROIX, CLAUDETTE
BRAWN, HUNTER
LEGAULT
BRAWN, TRISTAN
PENANCE III
ST. CROIX, NICOLE
OMEGA
TIMBERIUS
GIDEON, GREGORY HUNG
GIDEON, CLAIRE
MIRACLE MAN
MONDO II
ADVENT/KYLE GROBE
TIMESLIP/RINA PATEL
THERMAL MAN
BROGIN, BULL
DAKOR, YOGI
PHILLIPS, HANDSOME H
AVANDALIA
JOHNSON, ANNA
NALES, DET. REBECCA
THULE, GEN.
BERGLUND, GEN.
CRIMSON DAFFODIL
MARKED MAN
NIGHT
BOWEN, FATHER MICHAE
FALCONER, CALVIN
SCHWINNER, DR. ERIC
TENDRIL/RIVER VERYS
GALANNAN, BILL
SLOAN, ANNA
CONTONI, PAUL
BAMBI
STAPHOS, DR. MONICA
HITLER, ADOLF
THUNDERFIST/
TOMMY LIGHTNING/
CAPTAIN WINGS/
KING GEORGE VI
SPIRIT OF '76/WILLIA
GHOST GIRL/
GOLEM/JACOB GOLDSTEI
BLUE BULLET/PROF. JO
FACE/COL. EISEN
MATADOR/MANUEL ELOGA
MR. FEAR/ZOLTAN DRAG
KRANG [ATLANTEAN]
DEATHLOK/COLONEL LUT
MURDOCK, BATTLING JA
FIXER/SWEENEY
SLADE
HELIX/RAFAEL CARAGO
NIELS
DUNHAM, LAURA
YONDU/YONDU UDONTA
HOLLYWOOD
NOVA OMEGA/GARTHAN S
TURBO II (B)/MIKE JE
MEXXA RIEN
PRETTY PERSUASIONS/H
MATHEMANIC/THOMAS SO
IMPULSE II/DWIGHT HU
CORONARY/JIMMY SHARP
GENECIDE
CHEN, DR.
DARK
LIGHT
GENERAL OBSIDIAN
ADMIRAL PROTOCOL/
CUT
TRUTH II
DRY
GENERAL ADMISSION
WRONG
RIGHT
BALDWIN, JUSTIN
STONE, NELSON
BRIGGS, AGENT STEPHA
GARTHAN SAAL
ASYLUM II/HENRIQUE M
HENDERSON, CAROL
SPROCKET
JUPITER
SPARROW
FLYNN
MELTON, LORRIE
MADDEN, CHET
WALTERS, SHERIFF MOR
ZAPPER, DAN
GONZALEZ, RAYMOND
RADION
CHAKA KHAN
CHEEVER, JOHN
JILL
BANCROFT, MARTINE
ROBERTSON, AMANDA
BANKS, SHARON
LOBO, EDUARDO
TORK, SGT.
REDEEMER/CRAIG SAUND
LEECH
TIMESHADOW
TOWER
STINGER III/
SCALPHUNTER
O'DONNELL
KINGO SUNEN [ETERNAL
CHATTERTON, DAVE
YRDISIS
CATAPHRAX
KHORYPHOS [ETERNAL]
DREAMING CELESTIAL/T
CYBELE [ETERNAL]
HOLDEN, DR. SAMUEL
AHQLAU
PHASTOS [ETERNAL]
TEFRAL
BLAIRE, CARTER
HUNCH
MARX
BEEFER
MIDNIGHT III/JEFFREY
CHURCH, LYNN
OLLSEN, BO
CHAINSAW/
AQUARIUS/DARREN BENT
PLASMA/
CHLOE
DUFFY, SGT. MIKE
MADAME QWA
DRAGONFLY II/MEIKO Y
YANO
CHIMERA II
EMPLATE/MARIUS ST. C
D.O.A.
AUTHIER, TRACY TRACE
M-PLATE
DIRT NAP
TOKEN
TIMMONS
ELWOOD
WILKS, SHANTAL
MASTER ZEI
CACHES, PROF. MARINA
LEWIS, DET. GARON
EL UNO
DARIA
TORES
GIL
LYNN, NORMA
DILLON, JONATHAN
DILLON, ANITA
RANDEAU, DR.
AUTHIER, POLICE CHIE
ASH, BRANDY
BLACKHEART
GILBERT, ROXANNE
BLIZZARD/PROF. GREGO
CHANGELING
JINX
LINK
SCORCH II
WITNESS II/REMY LEBE
FITZROY, TREVOR
SPUNJE
FIZ [SKRULL]
NURO
R'TEE
THUMPER
NOM
NOTE
SEER
TRACKER
KINLAN KARTH KITH
BEDFORD, BRAD HULK
STRINGER, AMY
RIPTIDE
KRAMER, KENNY
KRAMER, STACEY
SCRAMBLER
MARX, DR.
MASTER MOLD III
SLYDE
COCKRUM, DAVE
CHASIN, MAJOR
RASPUTINA, ALEXANDRA
RASPUTIN, NIKOLAI
LIFEFORCE
SPYNE
DEADBOLT
STRONGARM II/ARMSTRO
BARRON, RICK
PURL, DR. NOAH
MOORE, TONI
GENESIS/TYLER DAYSPR
BARRAGE
HURRICANE III
WIGGINS, TRACY
BUSHWACKER/CARL
MOTH/
MARTELL, SHIELD AGEN
CROSS/
FITCH/
MIDAS
SERVITOR
SALLA
PARETSKY, DR. GARY
STEELE, BOBBY
KOSINSKI, HARLEY
RUIZ, RIGGER
FIELSTEIN, FIREWORKS
CONKLIN, CAPT.
MAJOWSKI, SAM MOTHER
JACKSON, ANDREW JOCK
RASSITANO, MAD DOG
SENSATIONAL HYDRA/A
NEUT
TUC
NELIT
MANTIS (SPACE PHANTO
MADAME MASQUE III
MALACHI
TOBIAS
LIBRA III/
ZA'KEN
BENEDICT
CHAR, BRON
CHAPMAN, GEN. ULYSSE
GENUARDI, MR.
PATTERSON, JACK
RANIER, MIKE
WATSON, PHILIP
RANSOME, DR. SUSAN
ROUGHHOUSE
TAI
COY, GENERAL NGUYEN
FLUFFY
BLOODSCREAM
HARDCASE/HAROLD HARR
BATTLEAXE II/JEROME
SHOTGUN/ZEKE SALLING
THOMAS, BECKY
HILDEBRANT, DR.
NIGHT RIDER
EPSTEIN, PROF. NORA
KENNEDY, LOUISE
TANNEN, VINCENT
TYNE, ELIZABETH/JANI
RAVEN, MATTHEW
TANNEN, PAUL
RAVEN, HELEN
AREX
GLABOO
PULSSUS
ARCADIUS
ROOTAR
MARGOYLE
ATOR, GENERAL
EELAK
MONTENEGRO
RISQUE/GLORIA
CRULE
ABSALOM
SAUL
HOLOCAUST
EL AGUILA
RAZA LONGKNIFE
MAM'SELLE HEPZIBAH
CR'REEE
ZANE, DONOVAN
LEONUS/LIONUS [INHUM
ARIDES
PHAE-DOR
CENTARIUS
STALLIOR
AVIUS
AIREO/AEOLUS [INHUMA
FALCONA [INHUMAN]
EXITAR
ZOMBIE/SIMON GARTH
VEGA, ROBIN
RYKER, MAJOR SIMON
TRAVERS, MIKE
CRIMSON DYNAMO VIII/
MELTER II/BRUNO HORG
BLACK KNIGHT VI/PROF
WHIRLWIND II/DAVID C
RADIOACTIVE MAN II/D
TITANIUM MAN III/BOR
KRANG II
GOSAMYR
ANIMATOR/DR. FREDRIC
BIRDBRAIN
DRAN, DAMON
SHAMROCK/MOLLY FITZG
URSULA
MICROMAX/SCOTT WRIGH
PRODIGY/
PEREGRINE, LE/FRANCK
ROMANOV, MICKEY
WINDSHEAR/COLIN ASHW
HEADLOK
PATRICK, KERRY
CLARKE, GENERAL JERE
MAJOR MAPLELEAF/LOUI
BREWER, AMY
BYRNE, JOHN
PINK PEARL/
BLACK KNIGHT III/EOB
CARTER, SHARON II
FURY, NICK II
MASTER MAN II/ALEXAN
TAKU
BLAKE, EMILY
DARK HUNTER
GUNTHAR
SEA WITCH/BRIGIT O'H
SPIKE
PAIN
SLICK
MORAN, KEVIN
TYRAK
CRIMSON DYNAMO V/DIM
PERUN
RAINTREE, VIVIAN
HOLDSWORTH, PARKER
DUNLEAVY, GEN. ARLEN
ORINI
KAMO THARNN
ROSETTI, GABRIEL
GERHARDT, JOSEPH HEI
SIEGEL, DR. AVRAM
CROW, REV. JOSHUA
RILEY, JACK
SHAITAN, AL
HELLSTROM, VICTORIA
SATANA
SOULFIRE/JASON MALDO
RILEY, KIM
RILEY, MARIEL
BECKMAN, CHARLES
BECKMAN, LISA
BECKMAN, SARAH
BECKMAN, JOSEPH
SAMMAEL
PORTER, KIM
PEACEMONGER/
REPLICUS
EXPEDITER/JOHN WRAIT
DAVIS, PRINCIPAL
POWDERKEG II
MAXXAM
MALICE V/NAKIA
ZURI
OKOYE
MONTGOMERY, SIR BERN
BROTHERS GRIMM
STALIN, JOSEF
IRON CROSS/HELMUT GR
LADY LOTUS
GOLDEN GIRL/GWENNY L
HUMAN TOP/DAVEY MITC
NOMAD II/EDWARD FERB
WILMOTT, DR. KEITH
WHITE, JONATHAN
COLLINS, NICK
MECHADOOM
COLDBLOOD/
COLLINS, TRACY
DWORMAN, JIM
RYKER, HARLAN
ANSWER
MARTHA
MAXIMOFF, DJANGO
TABOO
OTHER
CH'THON
MR. DOLL/NATHAN DOLL
SCRIER II/S. CRIER
CAMPBELL, MEREDITH
GROVEL
NANNY
MAGGOTT/JAPHETH
EENY
SPAT
MEANY
LANDSCAPE/BRETT
ALVAREZ, CARLY
HARRAS, BOB
JEROME, JASON
TESS-ONE
MCBRIDE, MARTHA
FOGG/THOMAS FOGG
KNIGHT/MALCOLM KNIGH
KNIGHT, LEO
PLAGUE
TARBABY
ERG
BEAUTIFUL DREAMER
APE/
PRISM
BAILEY, SARA GREY
BLOODWING [SHI'AR]
ZOOG [KYMELLIAN]
KALADAR [SHI'AR]
MAHA YOGI
ENCHANTER
COPPERSMITH, ALFRED
FORCE/CLAYTON WILSON
POLESTAR/
THOMAS, IDA
VINCENTE/
EDGERTON, GAYLE
MURMUR/
THOMAS, KIM HO TWAE
MISTY/VINCENTE
BULWARK/
DEVERAUX, INSPECTOR
AQUARIAN/WUNDARR
SOLARR
DR. HYDRO
LORVEX
HAMIR
MCCOURT, ALLISON
VIRAGO
ROSENBERG, ANNIE
STALYENKO, COL. YURI
ARCHAEOPTERYX/TONAJA
CARTHUS
JARZINHO, COL. EDSON
WOZ/DEWOZ
TOI/REXEL TOIVEN
DINU
NEIFI [INHUMAN]
NAHREES [INHUMAN]
NECROMANCER/DR. STEP
BERGER, PROF.
KRIVEN
SEMIJAN
WALL/
MALAN Sometimes spel
SHIRE, DR. RANDALL
KEY/
AENTAROS
OXTON, PROFESSOR HEN
LOCKLIN, BEN
DURAN, CONAL
BEDLAM/JESSE AARONSO
ANVIL/JOHNNY ANVIL
HAMMER/LEROY JACKSON
CORSI, TOM
ERISHKIGEL
HORUS [EGYPTIAN GOD]
MUNIN
HUGIN
FLAME II
MADDICKS, PROFESSOR
ARKO
BUSHMASTER/JOHN MCIV
TILDA
BRANDT, ELLEN
FILLMORE, SHERIFF DO
BURKE, JOB
LOPEZ, ANGELA
BURKE, GWYNETH
BURKE, JACK
MR. TERMINEUS/AMODEU
T'KYLL ALABAR
MEPHISITOID
TERRIGENE
PAVANE II
AMPERE/
PROCTOR
STEGRON
MOONDARK
MINT JULEP
HIGH OVERLORD
SABRE
KILLRAVEN/JONATHAN R
GROK
OLD SKULL
M'SHULLA
FROST, CARMILLA
RATTACK
FOROPULIST
VIGILANT/PSTUN-RAGE
SKAR
ATALON
ADAM 3,031
EVE 3,031
VOLCANA ASH
WARLORD
MASTER FOUR
ABRAXAS
SACRIFICER
MELONIE
KATHAR
SLEDGE
SCHUYLER, DR. REBECC
ALEGRIA, RICHIE
GRYPHON/COMMANDER EK
JONES, WALTER
BENTON, TERRY
BANTOCK, LT. OLIVER
SANDERS, DET. NAPOLE
REIGNFIRE/
BURKE, RICKY
BLACKSHEAR, JONAS
DEWITT, LUCIUS
THORPE, GORDON
HOLLISTER, SHERIFF
BRIGGS, AGENT
ROUSSEAU, ETIENNE
SNAKESKIN II/
LOCUS
SHORT CIRCUIT/HENRY
JOSHUA, DR. SEGISMUN
CHANDRA, DR.
DE LA SALLE, BEATRIC
WENDIGO II/GEORGES B
MAELEN
ARAKI [SHI'AR]
LELAND, HARRY
EMPRESS R'KILL [SKRU
HUSSAR
SMASHER IV
NIGHTSIDE
EARTHQUAKE
CARTER, JIMMY
PRYDE, CARMEN
PRYDE, TERRI
MACON, ANGELO
MAGUS II
MANH, COY NGA
MANH, COY LEONG XUI
MINXI [INHUMAN]
VICTORIUS/PROF. VICT
MAA-GOR
KLIGGER/SEN. EUGENE
PARKER, MARY (ROBOT)
PARKER, RICHARD (ROB
UNCLE PYKO
LYLLA
JAKES, JUDSON
MACE
KINGSIZE
COMANCHE
SHADES
MALICE III
SUAREZ, RAPHAEL
DARK RAIDER
O'NEIL, BRIDGET
RAPTOR II/PROFESSOR
STALKING FOX
SHAMAN III
MACKAY, AILSA
MAULER/BRENDAN DOYLE
MCPHERSON, LING
OGUR
DRAGONWING/
FROST, ADRIENNE
TOUGH LOVE/
SIGN/
NIGHTWIND/
NOY
JET-BLACK/
SPOILSPORT/
FORTUNATO, JAMES
FORTUNATO, MARY
STRONG, SUSAN
PARKER, RICHARD
CALLAHAN, MIKE
OSBORN, EMILY
LEVIATHAN IV
DEATH'S HEAD
ST. HUBBINS, SARI
CAMPBELL, DR. RORY
MILAN
JAVITZ
SISTER MARIA
JACK O'DIAMONDS
VIBRATO/
ASTROVIK, ARNOLD
ELEC'TRIX/
FU'SE
CHORD, MIYAMI
DIE'ODE/
DREYFUSS, RACHEL
LEFT HAND/DIEGO CASS
FIREWALL/THEARY/MIN
MIDNIGHT'S FIRE/
SMILING TIGER/
BLOODSTRIKE/ERIC CON
STAPLES, EDNA M. GRA
ROSEN, WALTER
BLACKBALL
ENRAGED
STANDISH, GEN.
TERRAFORMER/SAM
FIREBRAND II/BROXTEL
ETERNAL BRAIN/PROFES
MORPH
LOCKE, DR. CASSANDRA
EFFIGY/LT. VELMAX/JA
OXBOW/
SUNSHINE/AUTUMN MACR
RAPUNZEL
WALKABOUT
CAPTAIN HIP/FRED MAC
GADFLY/RUTH MACRAE
PIXIE/ [ETERNAL]
MODINE, REP. BERNARD
BLACK FOX/ROBERT W.
TEMPLAR/IAN FITZWILL
RIOT-ACT/
YETI
SQUIRE/
FIREFALL II
MAKO
FLATIRON/RUSSELL
NIGHTINGALE/
NOCTURNE/
MR. JUSTICE/TIMOTHY
DEAD RINGER/LOU
AMERICOP/
SANADA, KONO
GOLDDIGGER
KOWALSKI, TRISH
WINTHROP, DESIREE
HOPKINS, STEVE
HARDY, LYDIA
ARMADA II/
KOPPISCH, DR. ERIC
REINMAN, PAULA
ISHIMA, DAVID
CENTURY, TURNER D.
EJULP
TRION
KRAGG
MORRELL, SABRINA
MADMAN/PHIL STERNS
TOLLIVER, REV. JACKS
SIN-EATER/STAN CARTE
HOUND
EDGERTON, MR.
MINOTAUR II
TRAPSTER II/LARRY CU
HALF-FACE
DOMINO
CRUSHER/EL PROFESSOR
CROSS, STANLEY
BURR, CLAYTON
HANSEN, BILLY
HU, DR.
JACOBS, BEN
MAINFRAME/IAN WAJLER
FIRE EATER/TOMAS
SERAPH
MCLEISH
AI-CHIA
ASMODEUS
ANAIS
KURRGO
DR. SPECTRUM II/DR.
HYPERION II
N'GASSI
W'KABI
M'KAMBA
ITOBU, DR. JOSHUA
CH'VAYRE
HARBINGER
AGENT 18/JACK TRUMAN
RODRIGUEZ, DEBRA
PILLMAN, JIM
GARRISON, DR.
SIR
MR. FEAR V/
JONES, ARMAND
NECRODAMUS
RED GUARDIAN II/ALEX
INFERNO II/JOSEPH CO
AMENHOTEP
GRIM REAPER/ERIC WIL
SLOTH
COAL TIGER/T'CHALLA
CASSANDRA
MADISON, TAYLOR
WALDO
GALEN
MORGAN, DR. VIVIAN
BLOOD WRAITH/SEAN DO
CROSS, GENEVIEVE
LLYRON
ELSIE DEE
ALBERT
HUNTER IN DARKNESS
TABESHAW, HARRY
VANESSA
AGGAMON
GIGANTO
STEVENS, DR. VINCENT
KARNIVOR
BLAKE, DR. DONALD
PROSH
SAURON/DR. KARL LYKO
SNOW, TANDY
SEESHA
EL GIBAR, ACHMED
DELANY, CAPT.
GRIZZLY II/THEODORE
WENDIGO III/FRANCOIS
TOLLIVER
PICO
TYGERSTRYKE/
THORNN II/LUCIA CALL
BURKE
NICODEMUS II
OSAMA
CARDIAC/DR. ELI WIRT
MUMM, MAX
FURMAN, RICHARD
SATHAN
CRIPPLER/KARL STRIKL
HOBBS, DET.
DAKINI
MARVEL BOY III/ROBER
VENUS II
3-D MAN/CHARLES CHAN
GORILLA-MAN
HUMAN ROBOT
TEMPUS
RAA
ALIOTH
REVELATION
LUCIFER, REV.
DOLAN, STACY
KETCH, DORIS AUDRA
KALE, NAOMI
DOLAN, CAPT. THOMAS
KETCH, BARBARA
PRETTY BOY
DA COSTA, EMMANUEL
CRAIG, REV.
AXE/
ROBERTSON, PROF. BOB
SCANNER II/RHANLA
FIREFALL IV/TARN
TERMINATOR II/PRINCE
SENTRY IV/VAL
LORD BALDAR
TALO
VANIUM
DARK MASTER
THAN, VELENA
LIBERATOR/PRINCE TRI
BIANDU
XYOSS
JAVELIN II/DARIN JR.
HAMMERHAND II/BRON
PULSAR II/LAN
YOVA
KEL, JANOTH
LORD GASPAR
STARSHINE III/ANARRA
LIGHTNINGBOLT II/RAN
XELOCKS [TRIONIAN]
PIERSO [TRIONIAN]
